date,close,position,port_value,cash,total_value,max_cap,return_ratio,return_peak,drawdown
2020-02-26,0.994,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-02-27,0.995,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-02-28,0.973,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-03-02,0.998,3100,3093.8,-3020.18,73.62,3100,1.0243760305677145,1.0243760305677145,0.0
2020-03-03,1.002,3100,3106.2,-3020.18,86.02,3100,1.0284817461210922,1.0284817461210922,0.0
2020-03-04,1.005,3100,3115.5,-3020.18,95.32,3100,1.0315610327861253,1.0315610327861253,0.0
2020-03-05,1.019,3100,3158.9,-3020.18,138.72,3100,1.0459310372229471,1.0459310372229471,0.0
2020-03-06,1.011,3100,3134.1,-3020.18,113.92,3100,1.0377196061161917,1.0459310372229471,-0.007850834151128697
2020-03-09,0.997,3100,3090.7,-3020.18,70.52,3100,1.0233496016793702,1.0459310372229471,-0.0215897939156036
2020-03-10,1.008,3100,3124.8,-3020.18,104.62,3100,1.0346403194511586,1.0459310372229471,-0.0107948969578018
2020-03-11,1.0,3100,3100.0,-3020.18,79.82,3100,1.0264288883444033,1.0459310372229471,-0.018645731108930495
2020-03-12,0.986,3100,3056.6,-3020.18,36.42,3100,1.0120588839075817,1.0459310372229471,-0.0323846908734054
2020-03-13,0.972,17500,17010.0,-16391.7,618.3,3100,1.0377203096689178,1.0459310372229471,-0.007850161494231598
2020-03-16,0.96,17500,16800.0,-16391.7,408.3,3100,1.0249089478211533,1.0459310372229471,-0.020098924932574543
2020-03-17,0.955,17500,16712.5,-16391.7,320.8,3100,1.0195708803845849,1.0459310372229471,-0.025202576365217274
2020-03-18,0.941,17500,16467.5,-16391.7,75.8,3100,1.004624291562193,1.0459310372229471,-0.03949280037661727
2020-03-19,0.925,17500,16187.5,-16391.7,-204.2,3100,0.9875424757651738,1.0459310372229471,-0.05582448496107431
2020-03-20,0.937,17500,16397.5,-16391.7,5.8,3100,1.0003538376129382,1.0459310372229471,-0.043575721522731585
2020-03-23,0.911,17500,15942.5,-16391.7,-449.2,3100,0.972595886942782,1.0459310372229471,-0.07011470897247431
2020-03-24,0.929,17500,16257.5,-16391.7,-134.2,3100,0.9918129297144286,1.0459310372229471,-0.051741563814960104
2020-03-25,0.947,17500,16572.5,-16391.7,180.8,3100,1.0110299724860752,1.0459310372229471,-0.0333684186574459
2020-03-26,0.94,17500,16450.0,-16391.7,58.3,3100,1.0035566780748792,1.0459310372229471,-0.0405135306631459
2020-03-27,0.947,17500,16572.5,-16391.7,180.8,3100,1.0110299724860752,1.0459310372229471,-0.0333684186574459
2020-03-30,0.943,17500,16502.5,-16391.7,110.8,3100,1.0067595185368203,1.0459310372229471,-0.03745133980356022
2020-03-31,0.937,17500,16397.5,-16391.7,5.8,3100,1.0003538376129382,1.0459310372229471,-0.043575721522731585
2020-04-01,0.932,17500,16310.0,-16391.7,-81.7,17500,0.9950157701763697,1.0459310372229471,-0.048679372955374424
2020-04-02,0.941,17500,16467.5,-16391.7,75.8,17500,1.004624291562193,1.0459310372229471,-0.03949280037661727
2020-04-03,0.938,17500,16415.0,-16391.7,23.3,17500,1.001421451100252,1.0459310372229471,-0.04255499123620295
2020-04-07,0.947,17500,16572.5,-16391.7,180.8,17500,1.0110299724860752,1.0459310372229471,-0.0333684186574459
2020-04-08,0.945,17500,16537.5,-16391.7,145.8,17500,1.0088947455114479,1.0459310372229471,-0.035409879230502955
2020-04-09,0.948,17500,16590.0,-16391.7,198.3,17500,1.012097585973389,1.0459310372229471,-0.03234768837091727
2020-04-10,0.941,17500,16467.5,-16391.7,75.8,17500,1.004624291562193,1.0459310372229471,-0.03949280037661727
2020-04-13,0.937,17500,16397.5,-16391.7,5.8,17500,1.0003538376129382,1.0459310372229471,-0.043575721522731585
2020-04-14,0.945,17500,16537.5,-16391.7,145.8,17500,1.0088947455114479,1.0459310372229471,-0.035409879230502955
2020-04-15,0.941,17500,16467.5,-16391.7,75.8,17500,1.004624291562193,1.0459310372229471,-0.03949280037661727
2020-04-16,0.944,17500,16520.0,-16391.7,128.3,17500,1.007827132024134,1.0459310372229471,-0.03643060951703159
2020-04-17,0.947,17500,16572.5,-16391.7,180.8,17500,1.0110299724860752,1.0459310372229471,-0.0333684186574459
2020-04-20,0.944,17500,16520.0,-16391.7,128.3,17500,1.007827132024134,1.0459310372229471,-0.03643060951703159
