date,open,high,low,close
2020-02-26,0.6961,0.7169,0.6961,0.7133
2020-02-27,0.7111,0.7183,0.7111,0.714
2020-02-28,0.7126,0.7126,0.6939,0.6982
2020-03-02,0.6982,0.7183,0.6982,0.7162
2020-03-03,0.7197,0.7233,0.7169,0.719
2020-03-04,0.7169,0.7219,0.7169,0.7212
2020-03-05,0.7226,0.7327,0.7219,0.7312
2020-03-06,0.7248,0.7284,0.7233,0.7255
2020-03-09,0.7205,0.7248,0.7126,0.7154
2020-03-10,0.7133,0.7269,0.7104,0.7233
2020-03-11,0.719,0.7233,0.7176,0.7176
2020-03-12,0.7176,0.7176,0.7054,0.7076
2020-03-13,0.6982,0.7004,0.6372,0.6975
2020-03-16,0.6975,0.7032,0.6875,0.6889
2020-03-17,0.6889,0.6997,0.676,0.6853
2020-03-18,0.6846,0.6896,0.6753,0.6753
2020-03-19,0.671,0.6753,0.6559,0.6638
2020-03-20,0.6638,0.6724,0.6623,0.6724
2020-03-23,0.6674,0.6674,0.653,0.6537
2020-03-24,0.6602,0.6674,0.6588,0.6666
2020-03-25,0.6688,0.6796,0.6688,0.6796
2020-03-26,0.6731,0.6774,0.6731,0.6745
2020-03-27,0.6774,0.6846,0.6774,0.6796
2020-03-30,0.6731,0.6796,0.6724,0.6767
2020-03-31,0.676,0.681,0.6724,0.6724
2020-04-01,0.6724,0.676,0.6681,0.6688
2020-04-02,0.6681,0.6753,0.6659,0.6753
2020-04-03,0.6753,0.6753,0.671,0.6731
2020-04-07,0.6745,0.6803,0.6745,0.6796
2020-04-08,0.6781,0.6796,0.6753,0.6781
2020-04-09,0.6803,0.681,0.6781,0.6803
2020-04-10,0.6803,0.6803,0.6731,0.6753
2020-04-13,0.6724,0.6731,0.6717,0.6724
2020-04-14,0.6738,0.6788,0.6738,0.6781
2020-04-15,0.6781,0.6788,0.6753,0.6753
2020-04-16,0.6738,0.6781,0.6724,0.6774
2020-04-17,0.6803,0.681,0.6781,0.6796
2020-04-20,0.6796,0.6796,0.676,0.6774
2020-04-21,0.6767,0.6767,0.6695,0.6717
2020-04-22,0.6681,0.6731,0.653,0.6731
2020-04-23,0.6724,0.6745,0.671,0.671
2020-04-24,0.671,0.671,0.6659,0.6666
2020-04-27,0.6674,0.6731,0.6674,0.6702
2020-04-28,0.6695,0.6695,0.6595,0.6666
2020-04-29,0.6674,0.6745,0.6674,0.6738
2020-04-30,0.676,0.6832,0.676,0.6824
2020-05-06,0.6817,0.6817,0.6745,0.6803
2020-05-07,0.6803,0.6803,0.6753,0.676
2020-05-08,0.6767,0.681,0.6767,0.681
2020-05-11,0.681,0.6832,0.6796,0.6817
2020-05-12,0.6846,0.6846,0.6767,0.6781
2020-05-13,0.6781,0.6781,0.6738,0.6781
2020-05-14,0.6781,0.6781,0.6652,0.6717
2020-05-15,0.6731,0.6738,0.6695,0.6695
2020-05-18,0.6702,0.6738,0.6702,0.6717
2020-05-19,0.6717,0.6774,0.6717,0.6738
2020-05-20,0.6738,0.6738,0.6695,0.671
2020-05-21,0.6717,0.6724,0.6674,0.6681
2020-05-22,0.6659,0.6659,0.658,0.6588
2020-05-25,0.6595,0.6602,0.6566,0.658
2020-05-26,0.6588,0.6609,0.6588,0.6609
2020-05-27,0.6602,0.6631,0.6602,0.6623
2020-05-28,0.6631,0.6674,0.6623,0.6645
2020-05-29,0.6645,0.6645,0.6602,0.6616
2020-06-01,0.6652,0.6702,0.6645,0.6695
2020-06-02,0.6695,0.6724,0.6695,0.6724
2020-06-03,0.6745,0.6788,0.6724,0.6738
2020-06-04,0.6738,0.6738,0.6688,0.6695
2020-06-05,0.6652,0.6702,0.6652,0.6702
2020-06-08,0.6695,0.6738,0.6695,0.6724
2020-06-09,0.671,0.6753,0.671,0.6745
2020-06-10,0.6753,0.6753,0.6702,0.6717
2020-06-11,0.6695,0.6702,0.6652,0.6652
2020-06-12,0.6602,0.6638,0.6588,0.6638
2020-06-15,0.6595,0.6631,0.6573,0.658
2020-06-16,0.6602,0.6645,0.6595,0.6645
2020-06-17,0.6631,0.6674,0.6631,0.6666
2020-06-18,0.6666,0.6724,0.6638,0.6717
2020-06-19,0.6839,0.6839,0.6674,0.6724
2020-06-22,0.671,0.6731,0.6695,0.6702
2020-06-23,0.6688,0.6688,0.6666,0.6674
2020-06-24,0.6688,0.6717,0.6688,0.6717
2020-06-29,0.6717,0.6717,0.6652,0.6659
2020-06-30,0.6652,0.671,0.6652,0.6688
2020-07-01,0.6695,0.6796,0.6695,0.6788
2020-07-02,0.6788,0.6961,0.6788,0.6954
2020-07-03,0.6954,0.7104,0.6954,0.7097
2020-07-06,0.7111,0.7578,0.7111,0.7578
2020-07-07,0.7678,0.7757,0.747,0.747
2020-07-08,0.747,0.7664,0.7434,0.7549
2020-07-09,0.7549,0.7621,0.7485,0.7592
2020-07-10,0.7592,0.7592,0.742,0.7427
2020-07-13,0.7398,0.7578,0.7384,0.7542
2020-07-14,0.7499,0.7592,0.7406,0.7492
2020-07-15,0.752,0.752,0.737,0.7377
2020-07-16,0.7377,0.752,0.7269,0.7276
2020-07-17,0.7269,0.7341,0.7205,0.7255
2020-07-20,0.7291,0.7477,0.7284,0.7477
2020-07-21,0.7463,0.7528,0.7449,0.7456
2020-07-22,0.7528,0.7592,0.7463,0.7485
2020-07-23,0.7463,0.7485,0.7348,0.7441
2020-07-24,0.7441,0.7441,0.7233,0.7262
2020-07-27,0.7262,0.7284,0.7219,0.7248
2020-07-28,0.7233,0.7305,0.7233,0.7269
2020-07-29,0.7212,0.7341,0.7205,0.7334
