日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-02-26,0.97,0.994,0.999,0.97,477947,47247530.0,2.94,0.71,0.007,0.4
2020-02-27,0.991,0.995,1.001,0.991,170934,17041550.0,1.01,0.1,0.001,0.14
2020-02-28,0.993,0.973,0.993,0.967,181642,17797705.0,2.61,-2.21,-0.022,0.15
2020-03-02,0.973,0.998,1.001,0.973,223791,22296159.0,2.88,2.57,0.025,0.19
2020-03-03,1.003,1.002,1.008,0.999,299508,30036075.0,0.9,0.4,0.004,0.25
2020-03-04,0.999,1.005,1.006,0.999,151231,15167806.0,0.7,0.3,0.003,0.13
2020-03-05,1.007,1.019,1.021,1.006,466181,47334039.0,1.49,1.39,0.014,0.39
2020-03-06,1.01,1.011,1.015,1.008,61429,6211252.0,0.69,-0.79,-0.008,0.05
2020-03-09,1.004,0.997,1.01,0.993,62949,6280059.0,1.68,-1.38,-0.014,0.05
2020-03-10,0.994,1.008,1.013,0.99,108142,10869638.0,2.31,1.1,0.011,0.09
2020-03-11,1.002,1.0,1.008,1.0,29017,2914685.0,0.79,-0.79,-0.008,0.02
2020-03-12,1.0,0.986,1.0,0.983,43939,4343160.0,1.7,-1.4,-0.014,0.04
2020-03-13,0.973,0.972,0.976,0.888,45864,4400514.0,8.92,-1.42,-0.014,0.04
2020-03-16,0.972,0.96,0.98,0.958,44212,4277421.0,2.26,-1.23,-0.012,0.04
2020-03-17,0.96,0.955,0.975,0.942,38170,3650515.0,3.44,-0.52,-0.005,0.03
2020-03-18,0.954,0.941,0.961,0.941,17695,1688186.0,2.09,-1.47,-0.014,0.01
2020-03-19,0.935,0.925,0.941,0.914,33383,3081693.0,2.87,-1.7,-0.016,0.03
2020-03-20,0.925,0.937,0.937,0.923,38325,3566097.0,1.51,1.3,0.012,0.03
2020-03-23,0.93,0.911,0.93,0.91,29904,2730372.0,2.13,-2.77,-0.026,0.03
