month,net_add,position,max_cap,value,price,grid_trades,dca_paused
2020-02,3020.18,3100,3100,3016.3,0.973,0,0
2020-03,13371.51,17500,17500,16397.5,0.937,16,1
2020-04,3047.12,20700,20700,19685.7,0.951,0,0
2020-05,3046.52,24000,24000,22128.0,0.922,0,0
2020-06,2986.24,27200,27200,25350.4,0.932,0,0
2020-07,4641.11,31700,31700,32365.7,1.021,7,1
2020-08,3011.07,34500,34500,37053.0,1.074,0,0
2020-09,3008.27,37400,37400,38746.4,1.036,0,0
2020-10,3046.02,40300,40300,42274.7,1.049,0,0
2020-11,2960.0,42900,42900,48777.3,1.137,0,0
2020-12,2975.84,45700,45700,49813.0,1.09,1,1
2021-01,2963.01,48400,48400,53046.4,1.096,0,0
2021-02,2988.64,51000,51000,58548.0,1.148,0,0
2021-03,2993.42,53500,53500,64842.0,1.212,3,1
2021-04,3050.51,56100,56100,65917.5,1.175,1,1
2021-05,3001.36,58600,58600,70261.4,1.199,0,0
2021-06,3016.38,61100,61100,73625.5,1.205,0,0
2021-07,3088.73,63800,63800,72476.8,1.136,3,1
2021-08,3008.87,66300,66300,79692.6,1.202,0,0
2021-09,3585.29,69000,69000,90321.0,1.309,7,1
2021-10,7868.25,75300,75300,92543.7,1.229,7,1
2021-11,8632.53,82500,82500,99907.5,1.211,8,1
2021-12,2996.15,84800,84800,110324.8,1.301,0,0
2022-01,3061.54,87200,87200,111092.8,1.274,0,0
2022-02,2959.3,89500,89500,115007.5,1.285,0,0
2022-03,3001.63,92000,92000,117760.0,1.28,2,1
2022-04,3037.5,94400,94400,119321.6,1.264,0,0
2022-05,2996.65,96800,96800,120709.6,1.247,0,0
2022-06,3047.12,99200,99200,125785.6,1.268,0,0
2022-07,2958.2,101600,101600,125069.6,1.231,0,0
2022-08,2975.02,104000,104000,128752.0,1.238,0,0
2022-09,3021.38,106500,106500,128545.5,1.207,0,0
2022-10,3008.62,109100,109100,126010.5,1.155,2,1
2022-11,3061.54,111500,111500,142051.0,1.274,0,0
2022-12,3011.07,113900,113900,142716.7,1.253,0,0
2023-01,2973.12,116200,116200,150014.2,1.291,0,0
2023-02,3039.91,118500,118500,156420.0,1.32,0,0
2023-03,2980.96,120700,120700,167048.8,1.384,4,1
2023-04,2937.78,122700,122700,180000.9,1.467,0,0
2023-05,3042.61,124800,124800,180585.6,1.447,0,0
2023-06,2941.78,126800,126800,186269.2,1.469,0,0
2023-07,3071.95,128800,128800,197579.2,1.534,0,0
2023-08,2967.81,130800,130800,193845.6,1.482,0,0
2023-09,3013.87,132800,132800,199864.0,1.505,0,0
2023-10,3063.64,134900,134900,196549.3,1.457,0,0
2023-11,3051.02,137000,137000,198787.0,1.451,0,0
2023-12,3006.86,139100,139100,198913.0,1.43,0,0
2024-01,2995.85,141100,141100,211085.6,1.496,0,0
2024-02,2962.11,143000,143000,222651.0,1.557,0,0
2024-03,2967.81,144900,144900,226044.0,1.56,0,0
2024-04,2991.23,146800,146800,235173.6,1.602,6,1
2024-05,2934.17,148600,148600,241920.8,1.628,0,0
2024-06,3068.64,150500,150500,242756.5,1.613,0,0
2024-07,3049.62,152400,152400,244297.2,1.603,0,0
2024-08,2984.71,154300,154300,242405.3,1.571,2,1
2024-09,8313.46,159700,159700,279794.4,1.752,6,1
2024-10,12433.2,166900,166900,280058.2,1.678,10,1
2024-11,2934.57,168600,168600,290666.4,1.724,0,0
2024-12,3052.02,170300,170300,305347.9,1.793,0,0
2025-01,2995.85,172000,172000,302720.0,1.76,0,0
2025-02,2955.0,173700,173700,301543.2,1.736,0,0
2025-03,3011.17,175400,175400,310282.6,1.769,0,0
2025-04,2997.55,177100,177100,311873.1,1.761,0,0
2025-05,3069.04,178800,178800,322376.4,1.803,0,0
2025-06,3089.47,180500,180500,327607.5,1.815,0,0
2025-07,2931.77,182100,182100,333243.0,1.83,0,0
2025-08,2920.55,183700,183700,334885.1,1.823,0,0
2025-09,3041.81,185400,185400,331309.8,1.787,0,0
2025-10,2959.0,187000,187000,345389.0,1.847,0,0
2025-11,2960.61,188600,188600,348532.8,1.848,0,0
2025-12,2933.37,190200,190200,348256.2,1.831,0,0
2026-01,2950.99,191800,191800,353295.6,1.842,0,0
2026-02,2959.0,193400,193400,357209.8,1.847,0,0
2026-03,2991.04,195000,195000,364065.0,1.867,0,0
2026-04,2984.64,196600,196600,366265.8,1.863,0,0
