date,action,grid,price,shares,cost,position
2020-02-28,BUY,月末补,0.973,3100,3020.18,3100
2020-03-13,BUY,G1,0.9603,900,865.41,4000
2020-03-13,BUY,G2,0.9603,900,865.41,4900
2020-03-13,BUY,G1,0.9507,900,856.75,5800
2020-03-13,BUY,G2,0.9507,900,856.75,6700
2020-03-13,BUY,G1,0.9412,900,848.19,7600
2020-03-13,BUY,G2,0.9412,900,848.19,8500
2020-03-13,BUY,G1,0.9318,900,839.71,9400
2020-03-13,BUY,G2,0.9318,900,839.71,10300
2020-03-13,BUY,G1,0.9225,900,831.31,11200
2020-03-13,BUY,G2,0.9225,900,831.31,12100
2020-03-13,BUY,G1,0.9132,900,823.0,13000
2020-03-13,BUY,G2,0.9132,900,823.0,13900
2020-03-13,BUY,G1,0.9041,900,814.77,14800
2020-03-13,BUY,G2,0.9041,900,814.77,15700
2020-03-13,BUY,G1,0.8951,900,806.62,16600
2020-03-13,BUY,G2,0.8951,900,806.62,17500
2020-04-30,BUY,月末补,0.951,3200,3047.12,20700
2020-05-29,BUY,月末补,0.922,3300,3046.52,24000
2020-06-30,BUY,月末补,0.932,3200,2986.24,27200
2020-07-07,SELL,G1,1.0741,900,-966.57,26300
2020-07-07,BUY,G1,1.0633,900,958.25,27200
2020-07-07,BUY,G1,1.0527,900,948.67,28100
2020-07-07,BUY,G1,1.0422,900,939.18,29000
2020-07-13,BUY,G1,1.0318,900,929.79,29900
2020-07-16,BUY,G1,1.0214,900,920.49,30800
2020-07-17,BUY,G1,1.0112,900,911.29,31700
2020-08-31,BUY,月末补,1.074,2800,3011.07,34500
2020-09-30,BUY,月末补,1.036,2900,3008.27,37400
2020-10-30,BUY,月末补,1.049,2900,3046.02,40300
2020-11-30,BUY,月末补,1.137,2600,2960.0,42900
2020-12-15,BUY,G1,1.0011,900,902.18,43800
2020-12-31,BUY,月末补,1.09,1900,2073.67,45700
2021-01-29,BUY,月末补,1.096,2700,2963.01,48400
2021-02-26,BUY,月末补,1.148,2600,2988.64,51000
2021-03-12,SELL,G1,1.2013,900,-1081.1,50100
2021-03-19,BUY,G1,1.1893,900,1071.77,51000
2021-03-26,BUY,G1,1.1774,900,1061.05,51900
2021-03-31,BUY,月末补,1.212,1600,1941.7,53500
2021-04-07,BUY,G1,1.1656,900,1050.44,54400
2021-04-30,BUY,月末补,1.175,1700,2000.07,56100
2021-05-31,BUY,月末补,1.199,2500,3001.36,58600
2021-06-30,BUY,月末补,1.205,2500,3016.38,61100
2021-07-27,BUY,G1,1.154,900,1039.94,62000
2021-07-27,BUY,G1,1.1425,900,1029.54,62900
2021-07-29,BUY,G1,1.131,900,1019.25,63800
2021-08-31,BUY,月末补,1.202,2500,3008.87,66300
2021-09-03,SELL,G2,1.2531,900,-1127.68,65400
2021-09-23,SELL,G1,1.3572,900,-1221.4,64500
2021-09-23,BUY,G1,1.3437,900,1210.85,65400
2021-09-24,BUY,G1,1.3302,900,1198.74,66300
2021-09-24,BUY,G1,1.3169,900,1186.76,67200
2021-09-27,BUY,G1,1.3038,900,1174.89,68100
2021-09-27,BUY,G1,1.2907,900,1163.14,69000
2021-10-12,BUY,G1,1.2778,900,1151.51,69900
